Neuron_class,n
I1,2
I2,2
I3,1
I4,1
I5,1
I6,1
M1,1
M2,2
M3,2
M4,1
M5,1
MC,2
MI,1
NSM,2
ASI,2
ASJ,2
AWA,2
ASG,2
AWB,2
ASEL,1
ASER,1
ADF,2
AFD,2
AWC,2
ASK,2
ASH,2
ADL,2
BAG,2
URX,2
ALN,2
PLN,2
SDQ,2
AQR,1
PQR,1
ALM,2
AVM,1
PVM,1
PLM,2
FLP,2
DVA,1
PVD,2
ADE,2
PDE,2
PHA,2
PHB,2
PHC,2
IL2_DV,4
IL2_LR,2
CEP,4
URY,4
OLL,2
OLQ,4
IL1,6
AIN,2
AIM,2
RIH,1
URB,2
RIR,1
AIY,2
AIA,2
AUA,2
AIZ,2
RIS,1
ALA,1
PVQ,2
ADA,2
RIF,2
BDU,2
PVR,1
AVF,2
AVH,2
PVP,2
LUA,2
PVN,2
AVG,1
DVB,1
RIB,2
RIG,2
RMG,2
AIB,2
RIC,2
SAA,4
AVK,2
DVC,1
AVJ,2
PVT,1
AVD,2
AVL,1
PVW,2
RIA,2
RIM,2
AVE,2
RMF,2
RID,1
AVB,2
AVA,2
PVC,2
RIP,2
URA,4
RME_LR,2
RME_DV,2
RMD_LR,2
RMD_DV,4
RIV,2
RMH,2
SAB,3
SMD,4
SMB,4
SIB,4
SIA,4
DA,8
DA9,1
PDA,1
DB01,1
DB,6
AS,11
PDB,1
VA,11
VA12,1
VB01,1
VB02,1
VB,9
VD_DD,19
CAN,2
HSN,2
VC_4_5,2
VC,4
